,city,country,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,date
287,madison,us,34.73,-86.57,95,53.0,20,5.99,1596917522
288,mathathane,bw,-22.27,28.75,54.21,70.0,0,8.77,1596917666
289,itupiranga,br,-5.13,-49.33,95,28.0,0,3.36,1596917666
290,binzhou,cn,37.37,118.02,78.01,90.0,70,2.57,1596917666
291,unai,br,-16.36,-46.91,80.08,31.0,12,6.26,1596917667
292,nanhai,cn,30.13,111.78,78.01,95.0,97,2.71,1596917667
293,taman,id,45.21,36.72,78.8,50.0,20,15.66,1596917202
294,maua,ke,-23.67,-46.46,78.8,56.0,7,9.17,1596917667
295,kismayo,so,-0.36,42.55,76.86,73.0,27,19.57,1596917667
296,cardoso,br,-20.08,-49.91,79.57,35.0,88,7.23,1596917667
297,gambiran,id,-6.8,111.5,72.97,86.0,32,4.47,1596917667
298,edgewater,us,28.99,-80.9,91.99,74.0,20,11.41,1596917667
299,raga,sd,8.46,25.68,70.97,94.0,100,4.5,1596917667
300,taseyevo,ru,57.22,94.9,58.68,71.0,7,2.8,1596917667
301,the pas,ca,53.83,-101.25,64.4,77.0,90,19.39,1596917667
302,gayeri,bf,12.65,0.49,75.9,83.0,87,6.51,1596917667
303,kautokeino,no,69.01,23.04,59.18,76.0,10,5.46,1596917668
304,oros,br,-6.24,-38.91,90.86,28.0,0,3.76,1596917668
305,tuzha,ru,57.61,47.94,53.82,94.0,0,6.78,1596917668
306,knoxville,us,35.96,-83.92,91.99,40.0,1,3.94,1596917409
307,tandil,ar,-37.32,-59.13,55,99.0,100,1.99,1596917473
308,oksfjord,no,70.24,22.35,64.4,72.0,91,16.11,1596917668
309,ashford,gb,51.15,0.87,75.99,58.0,100,5.01,1596917668
310,san mateo del mar,mx,16.2,-95,85.64,69.0,50,21.39,1596917668
311,bad salzdetfurth,de,52.06,10.01,82,58.0,24,1.99,1596917668
312,duekoue,ci,6.75,-7.35,71.1,93.0,99,2.35,1596917668
313,shingu,jp,33.73,135.98,75.43,90.0,24,5.17,1596917668
314,camabatela,ao,-8.19,15.38,63.91,57.0,0,4.41,1596917668
315,corinto,ni,37.94,22.96,79,54.0,11,5.99,1596917668
316,seguela,ci,7.96,-6.67,70.3,92.0,68,5.91,1596917669
317,novosil,ru,52.97,37.04,61.23,83.0,15,5.32,1596917560
318,ulu-telyak,ru,54.91,56.97,60.46,95.0,100,6.82,1596917669
319,sonipat,in,28.98,77.02,84.2,94.0,40,3.36,1596917669
320,ouesso,cg,1.61,16.05,76.82,71.0,88,2.48,1596917669
321,brownwood,us,31.71,-98.99,98.6,23.0,1,14.99,1596917395
322,tainan,tw,22.99,120.21,81,88.0,40,3.36,1596917501
323,collie,au,-33.37,116.15,55.99,60.0,100,10,1596917612
324,brunsbuttel,de,53.9,9.15,78.01,71.0,91,5.84,1596917483
325,aracaju,br,-10.91,-37.07,78.8,74.0,75,9.17,1596917669
326,tukums,lv,56.97,23.16,64.4,88.0,3,1.1,1596917669
327,bom jesus,br,-9.07,-44.36,90.19,26.0,0,7.99,1596917669
328,mysliborz,pl,52.92,14.87,73.99,67.0,32,4.5,1596917669
329,tuban,id,-6.9,112.06,74.5,86.0,19,6.38,1596917669
330,wanaka,nz,-44.7,169.15,30,85.0,0,1.99,1596917594
331,poirino,it,44.92,7.85,84,54.0,45,1.99,1596917670
332,tigil,ru,57.8,158.67,57.24,66.0,100,6.98,1596917670
333,arandis,na,-22.42,14.97,57,80.0,0,4.41,1596917670
